user_id,trial_type,target_distance,direction_axis,nr_of_clutches,completion_time,task_number
user5,midair,medium,NW,2,11.808699999999998,13
user5,midair,medium,S,4,17.9779,11
user5,midair,medium,N,3,15.760000000000002,20
user5,midair,medium,SE,6,25.5119,0
user5,midair,medium,E,2,13.926499999999999,21
user5,midair,medium,NE,3,14.3432,16
user5,midair,short,SW,3,9.805499999999999,19
user5,midair,short,W,1,8.275599999999999,12
user5,midair,short,NW,1,8.659400000000002,15
user5,midair,short,S,2,13.593700000000002,14
user5,midair,short,N,1,8.709800000000001,9
user5,midair,short,SE,1,9.1935,17
user5,midair,short,E,2,9.675699999999999,8
user5,midair,short,NE,1,8.9948,1
user5,touch+inertia,long,SW,29,18.2737,11
user5,touch+inertia,long,W,31,16.767599999999998,9
user5,touch+inertia,long,NW,41,20.256500000000003,18
user5,touch+inertia,long,S,24,14.711300000000001,10
user5,touch+inertia,long,N,30,19.48,0
user5,touch+inertia,long,SE,33,18.505699999999997,2
user5,touch+inertia,long,E,27,13.3257,8
user5,touch+inertia,long,NE,27,16.7612,15
user5,touch+inertia,medium,SW,14,9.333,4
user5,touch+inertia,medium,W,10,7.5023,5
user5,touch+inertia,medium,NW,23,13.0351,14
user5,touch+inertia,medium,S,14,11.2492,16
user5,touch+inertia,medium,N,16,10.184,3
user5,touch+inertia,medium,SE,22,12.6403,22
user5,touch+inertia,medium,E,18,11.919799999999999,21
user5,touch+inertia,medium,NE,17,12.168500000000002,12
user5,touch+inertia,short,SW,11,8.4118,23
user5,touch+inertia,short,W,9,7.039,6
user5,touch+inertia,short,NW,3,4.6585,19
user5,touch+inertia,short,S,9,7.771699999999999,13
user5,touch+inertia,short,N,7,6.269299999999999,20
user5,touch+inertia,short,SE,8,8.6882,7
user5,touch+inertia,short,E,9,6.447699999999999,17
user5,touch+inertia,short,NE,9,7.6926000000000005,1
user6,midair,long,SW,11,41.1808,19
user6,midair,long,W,3,15.594800000000001,8
user6,midair,long,NW,3,16.543400000000002,5
user6,midair,long,S,3,16.0029,4
user6,midair,long,N,5,25.1796,23
user6,midair,long,SE,5,18.8247,11
user6,midair,long,E,5,19.7269,15
user6,midair,long,NE,4,20.078500000000002,10
user6,midair,medium,SW,3,13.1584,22
user6,midair,medium,W,1,8.4264,6
user6,midair,medium,NW,4,13.5485,20
user6,midair,medium,S,1,9.2931,9
user6,midair,medium,N,1,7.8433,12
user6,midair,medium,SE,2,12.8437,21
user6,midair,medium,E,2,13.0273,17
user6,midair,medium,NE,4,19.4436,14
user6,midair,short,SW,1,7.943300000000001,7
user6,midair,short,W,1,8.8196,0
user6,midair,short,NW,1,9.3264,16
user6,midair,short,S,1,7.658799999999999,1
user6,midair,short,N,2,10.3767,2
user6,midair,short,SE,5,10.1922,18
user6,midair,short,E,1,9.1249,13
user6,midair,short,NE,1,8.1948,3
user6,touch+inertia,long,SW,36,14.1059,2
user6,touch+inertia,long,W,30,12.352300000000001,10
user6,touch+inertia,long,NW,27,19.5536,1
user6,touch+inertia,long,S,29,13.280100000000001,3
user6,touch+inertia,long,N,29,13.665199999999999,23
user6,touch+inertia,long,SE,37,18.5186,4
user6,touch+inertia,long,E,33,20.255000000000003,12
user6,touch+inertia,long,NE,65,21.5336,20
user6,touch+inertia,medium,SW,16,8.735199999999999,6
user6,touch+inertia,medium,W,17,8.7888,9
user6,touch+inertia,medium,NW,20,10.99,8
user6,touch+inertia,medium,S,21,12.140699999999999,16
user6,touch+inertia,medium,N,15,10.831900000000001,18
user6,touch+inertia,medium,SE,23,11.8279,22
user6,touch+inertia,medium,E,20,12.3116,7
user6,touch+inertia,medium,NE,15,7.9426000000000005,21
user6,touch+inertia,short,SW,9,6.6288,5
user6,touch+inertia,short,W,4,5.5746,13
user6,touch+inertia,short,NW,16,10.9472,17
user6,touch+inertia,short,S,10,7.7805,15
user6,touch+inertia,short,N,14,10.584399999999999,14
user6,touch+inertia,short,SE,8,7.0708,11
user6,touch+inertia,short,E,8,8.0007,0
user6,touch+inertia,short,NE,11,6.7607,19
user7,midair,long,SW,5,23.995700000000003,5
user7,midair,long,W,3,16.6769,22
user7,midair,long,NW,4,25.6142,1
user7,midair,long,S,5,23.9696,20
user7,midair,long,N,6,21.2094,16
user7,midair,long,SE,6,24.142,0
user7,midair,long,E,7,30.1536,6
user7,midair,long,NE,13,39.5719,23
user7,midair,medium,SW,3,16.918,14
user7,midair,medium,W,2,8.0593,13
user7,midair,medium,NW,2,20.7163,4
user7,midair,medium,S,4,16.0442,18
user7,midair,medium,N,2,17.1462,17
user7,midair,medium,SE,3,11.8344,21
user7,midair,medium,E,3,16.3006,12
user7,midair,medium,NE,4,16.9185,10
user7,midair,short,SW,2,10.3675,15
